iter	Passed	Remaining
0	59	59535
1	112	56100
2	169	56358
3	219	54733
4	273	54468
5	328	54454
6	380	53929
7	439	54550
8	492	54239
9	546	54060
10	603	54255
11	656	54029
12	711	54034
13	766	53979
14	821	53969
15	919	56568
16	972	56204
17	1026	56011
18	1083	55942
19	1134	55600
20	1187	55347
21	1240	55155
22	1292	54907
23	1344	54657
24	1399	54579
25	1451	54362
26	1503	54173
27	1564	54299
28	1617	54165
29	1670	54014
30	1721	53807
31	1776	53735
32	1830	53626
33	1883	53513
34	1960	54043
35	2009	53806
36	2064	53740
37	2116	53579
38	2168	53440
39	2220	53303
40	2274	53189
41	2325	53052
42	2374	52856
43	2424	52671
44	2473	52485
45	2525	52371
46	2578	52280
47	2631	52196
48	2683	52072
49	2734	51951
50	2790	51933
51	2855	52060
52	2918	52146
53	2971	52051
54	3027	52022
55	3077	51884
56	3129	51777
57	3187	51773
58	3245	51759
59	3300	51708
60	3349	51558
61	3402	51477
62	3454	51374
63	3507	51296
64	3562	51243
65	3620	51229
66	3675	51181
67	3729	51111
68	3782	51030
69	3840	51023
70	3894	50953
71	3947	50877
72	3995	50732
73	4047	50645
74	4101	50582
75	4149	50445
76	4202	50370
77	4251	50255
78	4308	50230
79	4361	50161
80	4413	50078
81	4466	50001
82	4519	49933
83	4573	49871
84	4626	49800
85	4677	49713
86	4734	49680
87	4787	49616
88	4840	49546
89	4894	49484
90	4947	49419
91	4995	49307
92	5046	49215
93	5098	49141
94	5150	49066
95	5209	49053
96	5261	48983
97	5316	48936
98	5378	48949
99	5428	48859
100	5480	48778
101	5533	48718
102	5598	48756
103	5651	48689
104	5702	48609
105	5751	48510
106	5804	48440
107	5856	48369
108	5906	48282
109	5957	48201
110	6023	48241
111	6076	48181
112	6130	48117
113	6178	48020
114	6230	47947
115	6285	47898
116	6337	47825
117	6388	47752
118	6440	47684
119	6490	47595
120	6544	47541
121	6595	47467
122	6649	47411
123	6701	47343
124	6751	47258
125	6799	47167
126	6854	47115
127	6907	47058
128	6965	47032
129	7019	46973
130	7069	46897
131	7121	46831
132	7171	46747
133	7227	46711
134	7282	46659
135	7333	46587
136	7382	46506
137	7435	46442
138	7484	46362
139	7536	46292
140	7586	46218
141	7637	46148
142	7690	46088
143	7740	46013
144	7802	46006
145	7858	45965
146	7909	45896
147	7960	45826
148	8009	45743
149	8061	45680
150	8112	45610
151	8165	45555
152	8218	45494
153	8274	45456
154	8327	45396
155	8376	45318
156	8427	45252
157	8477	45177
158	8530	45122
159	8581	45051
160	8637	45009
161	8687	44937
162	8738	44870
163	8790	44810
164	8841	44745
165	8895	44692
166	8947	44628
167	9000	44573
168	9065	44574
169	9118	44520
170	9175	44482
171	9232	44445
172	9292	44421
173	9358	44423
174	9424	44430
175	9482	44393
176	9533	44329
177	9586	44269
178	9639	44210
179	9688	44137
180	9735	44052
181	9783	43973
182	9836	43913
183	9896	43890
184	9950	43834
185	10001	43771
186	10054	43712
187	10112	43678
188	10168	43632
189	10220	43571
190	10277	43529
191	10331	43477
192	10386	43428
193	10439	43372
194	10490	43305
195	10545	43256
196	10595	43190
197	10649	43137
198	10706	43096
199	10761	43044
200	10815	42993
201	10866	42929
202	10918	42868
203	10970	42805
204	11023	42749
205	11073	42682
206	11123	42614
207	11177	42558
208	11226	42487
209	11278	42429
210	11330	42367
211	11380	42301
212	11432	42241
213	11487	42192
214	11541	42138
215	11592	42075
216	11644	42015
217	11693	41945
218	11744	41882
219	11797	41825
220	11850	41771
221	11900	41704
222	11955	41657
223	12021	41646
224	12071	41578
225	12121	41515
226	12172	41450
227	12228	41403
228	12281	41348
229	12335	41296
230	12389	41245
231	12445	41200
232	12497	41140
233	12548	41078
234	12599	41013
235	12651	40957
236	12702	40895
237	12756	40840
238	12808	40782
239	12861	40727
240	12912	40664
241	12962	40600
242	13016	40549
243	13070	40496
244	13119	40429
245	13171	40370
246	13224	40316
247	13279	40266
248	13329	40203
249	13386	40159
250	13437	40098
251	13491	40047
252	13546	39995
253	13600	39945
254	13653	39890
255	13708	39840
256	13774	39823
257	13827	39767
258	13880	39711
259	13930	39649
260	13990	39612
261	14048	39572
262	14106	39530
263	14162	39482
264	14217	39433
265	14272	39383
266	14321	39317
267	14371	39254
268	14423	39194
269	14477	39143
270	14530	39086
271	14583	39031
272	14633	38967
273	14683	38906
274	14734	38845
275	14788	38793
276	14837	38727
277	14888	38667
278	14942	38615
279	14993	38555
280	15046	38499
281	15102	38451
282	15151	38387
283	15205	38335
284	15258	38280
285	15311	38225
286	15365	38172
287	15419	38120
288	15473	38068
289	15524	38009
290	15576	37951
291	15629	37896
292	15679	37834
293	15734	37785
294	15790	37737
295	15843	37681
296	15894	37623
297	15948	37569
298	16000	37512
299	16051	37453
300	16104	37399
301	16157	37344
302	16209	37286
303	16261	37229
304	16313	37172
305	16367	37120
306	16418	37061
307	16474	37014
308	16528	36961
309	16618	36988
310	16684	36963
311	16736	36905
312	16790	36853
313	16841	36793
314	16895	36741
315	16948	36685
316	16999	36627
317	17053	36572
